Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
notags_EC12-A3-3804,eng,FL,IL,,Мы  только  увидимся  в  каникулях*@*  {{когда }} мы  все  домой.,когда,время,гп,мест,мест,и,и,1мн,мест мест,other
EC12-A3-0624,eng,FL,IL,,Я  нашёл  моего  самого  лушего  друга  в  дейтствие*@*  {{когда }} я  был  только 16  месяцов.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
А3-9018ЧтоТакоеДруг,eng,FL,IL,,{{Когда }} мы  решаем  какие  друзья  нам  нравиться  или  нужно *@*  мы  дожны  дольжен  думать  о  характире  у  друга.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
notags_EC12-A3-2759,eng,FL,IL,,{{Когда }} Я  переехала  в  новый  город*@*  Я  дольжна  была  встретиться  с  новыми  друзьями.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
notags_EC12-A3-2759,eng,FL,IL,,{{Когда }} я  была  в  России*@*  Я  узнала  что  у  русских  есть  другая  идея.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A4-1926,eng,FL,IL,,{{Когда }} мы  видем  человека*@*  который  живет  один  и  никогда  не  общается  мы  считаем  что  он  очень  странный  и  даже  нездоровый.,когда,время,п_г,мест,мест,и,и,1мн,мест мест,other
EC12-A4-0013,eng,FL,IL,,{{Когда }} я  говорю  с  моими  друзьями*@*  я  хочу  улучшить  себя.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A4-0013,eng,FL,IL,,{{Когда }} я  была  маленькой*@*  я  часто  играла  с  ненастоящими  невидимыми  друзьями.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-0331,eng,FL,IL,,{{Когда }} я  пришёл  домой*@*  я  видел*@*  что  он  готовил  вкусное  питание.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
ЕС12-А4-3151,eng,FL,IL,,{{Когда }} я  думаю  о  настоящей  дружбе*@*  мне  кажется*@*  что  у  меня  только  два  друга*@*  в  полсной  смысли  слова.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
ЕС12-А4-3151,eng,FL,IL,,{{Когда }} мы  были  молодыми*@*  мы  были  соседами  по  комнате*@*  но  она  переехала  шесть  лет  тому  назад*@*  потому  что  у  нее  была  дочь.,когда,время,пг,мест,мест,и,и,1мн,мест мест,other
ЕС12-А4-3151,eng,FL,IL,,{{Когда }} мы  познакомились*@*  нам  были  только  двадцать  лет.,когда,время,пг,мест,мест,д,и,1мн,мест мест,other
EC12-A3-0424,eng,FL,IL,,В  америке*@*  в  прошлом  году*@*  я  думала*@*  что  у  меня  было  много  друзей.  мы  вместе  гуляли  по  городу*@*  занимались  друг  с  другом*@*  мечта  голории  о  чём-нибудь  не- важно*@*  и  так  дале*@*  но  {{когда }} я  жила  в  России*@*  я  узнала*@*  что  такое  настоящий  друг.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-0424,eng,FL,IL,,{{Когда }} я  приехала  в  Россию*@*  я  не  знала  никого!,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-0424,eng,FL,IL,,{{Когда }} Я  вернулась  в  Америку*@*  Я  заметила  как  разголоры  с  дризями  в  Америке  не  так  сильные  какбыла  с  Аней  и  её  семьей.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
А3-6754-слетел,eng,FL,IL,,Я  помню  {{когда }} мне  было  двенадцать  лет*@*  я  был  помошником  бейсбольной  команды  моего  старшего  брата.,когда,время,пг,мест,мест,и,д,1ед,мест мест,other
notags_EC12-A3-2128,eng,FL,IL,,{{Когда }} Я  думаю  о  папе*@*  Я  помню  {{когда }} мы  с  ним  играли  футбол  на  улице  и  слушали  музыку  на  радио.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
А3-8724ЧтоТакоеДруг,eng,FL,IL,,{{Когда }} я  закончила  я  всё  им  сказала.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
А3-8724ЧтоТакоеДруг,eng,FL,IL,,{{Когда }} эта  сказала  я  улыбалась  первый  раз  в  дне  и  смеялась.,когда,время,пг,мест,null,и,null,1ед,мест null,null
EC12-A4-1232,eng,FL,IL,,Даже  я  часто  употребляю  его  {{когда }} опишу  что-то  наверно  не  точно  такое  но  главное*@*  что  каждый  имеет  кого-то*@*  с  кем  ситуация  такая*@*  потому  что  мир  без  соседов —  не  мир*@*  который  так  реальный*@*  как  и  возможно  мы  даем  друг  другу  действительность —  а  это  каждое  отношение  до  какой-то  степени.,когда,время,гп,мест,null,и,null,1ед,мест null,null
EС12-A4-0028,eng,FL,IL,,Иногда  этот  момент  нам  известно*@*  но  чаще  даже  мы  самы  не  знаем  {{когда }} мы  подружились  с  теми*@*  без  которых  наши  жизни  бы  считались  не  совершенными  теперь.,когда,время,гп,мест,мест,и,и,1мн,мест мест,other
notags_EC12-A3-2289,eng,FL,IL,,И  {{когда }} я  это  читаю*@*  стану  весёлым.,когда,время,пг,null,мест,null,и,1ед,null мест,null
notags_EC12-A3-2289,eng,FL,IL,,Я  думаю  про  себя*@*  что  можно  быть  поэтом*@*  {{когда }} я  эти  произведения  читаю.,когда,время,г_п,мест,мест,и,и,1ед,мест мест,other
А3-9006ЧтоТакоеДруг,eng,FL,IL,,Она  умная*@*  весёлая*@*  красивая*@*  и  интересная  девушка*@*  {{Когда }} Я  с  Анной*@*  Я  всегда  рада.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
А3-9006ЧтоТакоеДруг,eng,FL,IL,,Мы  используем  язык  {{когда }} мы  хотим  шутить  или  говорить  что-то  интересный.,когда,время,гп,мест,мест,и,и,1мн,мест мест,other
А3-4611,eng,FL,IL,,{{Когда }} я  вернулся*@*  заметил  что  улыбка  Катина  исчезла.,когда,время,пг,null,мест,null,и,1ед,null мест,null
А3-4611,eng,FL,IL,,Мы  говорили  целый  два  часа  и  {{когда }} я  улетел*@*  я  знал  что  ничего  не  изменилось.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
EC12-A3-0420,eng,FL,IL,,{{Когда }} я  думаю  о  дружбе*@*  мне  кажется*@*  что  пониятие  дружбы  довольно  трудно  выражать  в  конкретном  виде.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
EC12-A3-0420,eng,FL,IL,,В  результате  я  только  говорю  слов « друг»*@*  {{когда }} я  не  знаю*@*  что  вот  отличный  и  верный  человек*@*  с  которым  я  могу  быть  искренный*@*  и  {{когда }} у  меня  успех  или  серьёзные  проблемы*@*  я  могу  выратить  к  нему.,когда,время,п_г,мест,мест,и,и,1ед,мест мест,other
EC12-A3-0469,eng,FL,IL,,Однако*@*  мне  не  очень  приятно  промести  время  с  ним  и  я  не  чувствую  по  себе  {{когда }} я  разговариваю  с  ним  он  не  противный  человек  или  злой*@*  но  просто  у  насс  разные  характеры.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
notags_EC12-A3-2176,eng,FL,IL,,{{Когда }} я  приехала  в  университет  в  первом  году*@*  я  знала*@*  что  я  хотела  найти  самых  хороших  друзьей.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
notags_EC12-A3-2176,eng,FL,IL,,Но  {{когда }} я  приехала  в  другый  университет  чтобы  стать  аспирантка*@*  мне  было  нужно  из  этих  друзьей.,когда,время,п_г,мест,мест,д,и,1ед,мест мест,other
EC12-A3-0649,eng,FL,IL,,{{Когда }} я  думаю  о  моих  другах*@*  я  узнаю*@*  что  они  разны  из  друг  друга.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
А3 – 7649 ЧтоТакоеДруг,eng,FL,IL,,Можеть  быть  мы  стали  други  {{когда }} мы  встретили  в  школе.,когда,время,гп,мест,мест,и,и,1мн,мест мест,other
ЕС12-А4-6615,eng,FL,IL,,{{Когда }} стал  старше ( мне  было  лет  восемьнадцать)*@*  я  начал  путошествовать.,когда,время,пг,мест,null,и,null,1ед,мест null,null
ЕС12-А4-4628,eng,FL,IL,,{{Когда }} я  подумала  о  том*@*  что  такое  друг*@*  сначала  я  вообразила  в  уме  своих  лучших  и  близких  друзей.,когда,время,п_г,мест,мест,и,и,1ед,мест мест,other
ЕС12-А4-4628,eng,FL,IL,,Я  довольна  во  время*@*  {{когда }} я  просто  говорю  с  хорошим  и  близким  другом.,когда,время,гп,мест,мест,и,и,1ед,мест мест,other
notags_EC12-A3-2921,eng,FL,IL,,Мы  с  ним  познакомиlись  {{когда }} нам  быlо  всего  lишь  шесть  lет.,когда,время,гп,мест,мест,и,д,1мн,мест мест,other
