Название текста,Язык,Русский язык,Уровень,Год,Оригинальное предложение,союз,группа,расположение частей,подлеж гл,подлеж прид,падеж гл,падеж прид,лицочисло,subject,null
Финляндия*@* Россия и их народы,fin,FL,B2,,{{Когда }} я  переехала  в  Россию*@*  я  была  готова  к  тому*@*  что  ко  мне  будут  относиться  так*@*  как  относятся  к  иностранцам  в  Финляндии:  долго  смотрять*@*  молча*@*  и  говорят  за  спиной.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
Финляндия*@* Россия и их народы,fin,FL,B2,,{{Когда }} я  в  первый  раз  входила  в  балетный  зал*@*  мне  было  страшновато*@*  не  от  того*@*  что  будет  говорить  педагог*@*  а  от  того*@*  как  будут  одноклассники  реагировать.,когда,время,пг,мест,мест,д,и,1ед,мест мест,other
Финляндия*@* Россия и их народы,fin,FL,B2,,Девочки  любопытно  спрашивали*@*  кто  я  такая*@*  от  куда  я*@*  и*@*  {{когда }} они  услышали*@*  что  я  буду  заниматься  с  ними*@*  они  искренне  обрадовались  и  обнимали  меня.,когда,время,п_г,мест,мест,и,и,3мн,мест мест,other
Финляндия*@* Россия и их народы,fin,FL,B2,,Но*@*  поддерживая  и  финнов*@*  надо  сказать*@*  что  финн  может  быть  самым  лояльным  и  доверчивым  другом*@*  {{когда }} он  уже  откроется  к  новому  знакомству.,когда,время,гп,сущ,мест,и,и,3ед,сущ мест,other
текст 111,fin,FL,B2,,Я  пошли  в  школе*@*  {{когда }} мне  было  семь  лет*@*  как  обычно  в  Финляндии.,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
текст 113,fin,FL,B2,,Я  тоже  так  думал*@*  {{когда }} мне  было  пять  лет!» «,когда,время,гп,мест,мест,и,д,1ед,мест мест,other
текст 115,fin,FL,B2,,{{Когда }} мне  повезёт*@*  я  чувствую  благодарность*@*  а  {{когда }} нет*@*  это  почти  наоборот.,когда,время,пг,мест,мест,и,д,1ед,мест мест,other
текст 123,fin,FL,B2,,Читаю*@*  что  это  финская  традиция  и  после  школа  люди  хочет  кататься  на  лыжах  после  школу*@*  только  {{когда }} они  взрослые.,когда,время,гп,сущ,мест,и,и,3мн,сущ мест,other
текст 129,fin,FL,B2,,{{Когда }} я  была  маленькая*@*  я  каждые  выходные  бывала  у  бабушки.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
текст 129,fin,FL,B2,,Там  всегда  было  очень  весело*@*  потому  что  она  взяла  меня  с  собой*@*  {{когда }} она  ходила  по  делам  в  городе*@*  или  {{когда }} было  пора  выгуливать  собаку.,когда,время,гп,мест,мест,и,и,3ед,мест мест,other
текст 130,fin,FL,B2,,{{Когда }} я  был  ребёнком*@*  думал*@*  что  на  свете  есть  справедливость*@*  но  сейчас  я  уже  не  так  уверен.,когда,время,пг,null,мест,null,и,1ед,null мест,null
текст 131,fin,FL,B2,,Обычно  дети  пойдут  в  школу*@*  {{когда }} им  уже  семь  лет.,когда,время,гп,сущ,мест,и,д,3мн,сущ мест,other
текст 131,fin,FL,B2,,{{Когда }} я  пошёл  в  гимназию*@*  я  оставлял  моих  старых  друзей  потому*@*  что  самые  близкие  друзья  пошли  в  профтехучилище.,когда,время,пг,мест,мест,и,и,1ед,мест мест,other
